Iteration number,Data misfit,Artificial Hamiltonian,Kinetic Energy,Potential Energy
71,0.9491097648168093,3.961527790243929,2.5342516775126627,1.4272761127312665
72,0.8670512499948201,3.960910173391556,2.5716082867507875,1.3893018866407685
73,0.7931884412779328,3.9604857280997825,2.59279559576889,1.3676901323308923
74,0.7406683803798186,3.9603296276629667,2.591176385277304,1.3691532423856627
75,0.7195112625764177,3.960465468728276,2.5642931790990797,1.3961722896291964
76,0.7314713360333762,3.9608689166828377,2.514269865206169,1.446599051476669
77,0.7686882197189703,3.961467776228675,2.4474160527181845,1.5140517235104904
78,0.8180327492716385,3.9621571121566905,2.373103041300174,1.5890540708565166
79,0.8665110886844329,3.9628155814791297,2.302112169984021,1.660703411495109
80,0.9040598696817522,3.9633288393079082,2.244748695676753,1.7185801436311552
81,0.9241635770442304,3.963610126794035,2.2090522136909545,1.7545579131030804
82,0.9236980005967487,3.9636115277163064,2.19942270286276,1.764188824853546
83,0.9027328637427042,3.96333634637071,2.215892700319428,1.7474436460512819
84,0.8645072714121772,3.9628343049993795,2.254159957777484,1.7086743472218957
85,0.8155760026097268,3.9621941918356507,2.3063690690638183,1.6558251227718321
